question,answer,law_ref,visa_type,risk_level,notes
"What is H‑1B status in simple terms?","It’s a temporary work classification for specialty occupations requiring at least a bachelor’s degree (or equivalent).","8 CFR 214.2(h)(1)(ii); USCIS PM Vol.2 Part H",H1B,safe,""
"Do I need a specific degree major to qualify for H‑1B?","Your degree must be related to the specialty occupation; the job must normally require that degree field.","8 CFR 214.2(h)(4)(iii)(A); USCIS PM Vol.2 Part H",H1B,unclear,"Depends on job/degree nexus."
"Who files the H‑1B petition—the worker or the employer?","The U.S. employer (petitioner) files; the worker is the beneficiary.","8 CFR 214.2(h)(2)(i)(A)",H1B,safe,""
"Is there an annual cap for H‑1B?","Yes, most new H‑1Bs are subject to the annual cap and registration process; some employers are cap‑exempt.","8 CFR 214.2(h)(8); USCIS PM Vol.2 Part H",H1B,safe,"Cap‑exempt: certain universities, nonprofits, research orgs."
"Who is cap‑exempt for H‑1B?","Institutions of higher education, related/affiliated nonprofits, and nonprofit/government research orgs may be cap‑exempt.","8 CFR 214.2(h)(8)(ii)(F)",H1B,safe,""
"What is H‑1B portability (start on receipt)?","A worker may begin with a new H‑1B employer upon USCIS receipt of a nonfrivolous petition if in valid status.","8 CFR 214.2(h)(2)(i)(H)",H1B,safe,"Employer should keep proof of receipt; confirm edge cases."
"Do I need to stop working if the transfer is denied?","Yes. If the portability petition is denied, work authorization with the new employer ends immediately.","8 CFR 214.2(h)(2)(i)(H)",H1B,violation,""
"Can I work for two H‑1B employers at the same time?","Yes, with concurrent H‑1B approvals—each employer must file its own petition.","8 CFR 214.2(h)(2)(i)(D)",H1B,safe,""
"Is part‑time H‑1B allowed?","Yes, part‑time H‑1B can be approved if the LCA and petition reflect part‑time hours/wages.","8 CFR 214.2(h)(4)(ii); 20 CFR 655.731",H1B,safe,""
"What is an H‑1B amendment and when is it required?","A material change in the job (e.g., worksite change outside the area of intended employment) requires an amended petition.","8 CFR 214.2(h)(2)(i)(E); Matter of Simeio",H1B,violation,"File amendment before moving to new MSA."
"Does moving to a new client location require an amendment?","Usually yes, if outside the LCA’s area of intended employment, unless a short‑term placement rule applies.","Matter of Simeio; 20 CFR 655.735",H1B,risk,"Short‑term placement has limits; check 20 CFR 655.735."
"What are short‑term placement rules?","Employers may place H‑1Bs at worksites outside the LCA area for limited days if wage and notice conditions are met.","20 CFR 655.735",H1B,unclear,"Complex day limits; consult exact rule."
"Can an H‑1B be 'benched' without pay?","No. If the worker is nonproductive due to employer reasons, they must still be paid the required wage.","20 CFR 655.731(c)(7)",H1B,violation,""
"What is the required wage on H‑1B?","Employer must pay at least the higher of the prevailing wage or actual wage per the certified LCA.","20 CFR 655.731",H1B,safe,""
"Does my job title have to match the LCA exactly?","The job classification/role must be consistent with the LCA and petition; titles can vary but duties must align.","8 CFR 214.2(h)(4); 20 CFR 655.715",H1B,unclear,"Substance over title."
"How long can I stay in H‑1B status?","Generally up to 6 years in aggregate, with certain AC21 extensions possible.","8 CFR 214.2(h)(13)(iii); AC21 §§104(c),106(a)-(b)",H1B,safe,""
"What are AC21 extensions?","If green‑card steps are met (PERM/I‑140), you may get 1‑year or 3‑year H‑1B extensions beyond 6 years.","AC21 §§104(c),106(a)-(b)",H1B,safe,""
"Can I recapture time spent outside the U.S.?","Yes, time outside the U.S. can be recaptured and not counted toward the 6‑year limit.","8 CFR 214.2(h)(13)(iii)(C)",H1B,safe,"Keep evidence of travel."
"What is the 60‑day grace period after job loss?","Certain nonimmigrants, including H‑1B, may get up to 60 days or until I‑94 expiry, whichever is shorter.","8 CFR 214.1(l)(2)",H1B,safe,"One grace period per authorized validity."
"Can I work for a new employer during the grace period?","Yes, if the new employer files a nonfrivolous petition and portability applies before grace period ends.","8 CFR 214.2(h)(2)(i)(H); 8 CFR 214.1(l)(2)",H1B,safe,""
"Can I travel internationally while an H‑1B extension is pending?","Travel may be possible, but reentry requires proper visa/I‑797; leaving may affect change‑of‑status requests.","USCIS PM Vol.2 Part H; 8 CFR 214.2(h)",H1B,unclear,"Check consular vs COS strategy."
"Do I need a valid H‑1B visa stamp to reenter?","Yes, you generally need a valid H‑1B visa stamp and approval notice to reenter in H‑1B status.","8 CFR 214.1(a); 8 CFR 214.2(h)",H1B,safe,"Automatic revalidation can apply in limited cases."
"What is automatic revalidation?","Short trips to Canada/Mexico (and some Caribbean) may allow reentry with expired visa if conditions are met.","22 CFR 41.112(d); 8 CFR 214.1(b)",H1B,unclear,"Nationals of certain countries ineligible."
"Can I switch from F‑1 OPT to H‑1B without leaving the U.S.?","Yes, via change of status if selected/approved; 'cap‑gap' may bridge F‑1 to H‑1B start.","8 CFR 214.2(f)(5)(vi); 8 CFR 214.2(h)",H1B,safe,""
"Does an RFE stop me from working on receipt?","If you’re working under portability, you may continue while the nonfrivolous petition remains pending; denial ends it.","8 CFR 214.2(h)(2)(i)(H)",H1B,unclear,"RFE ≠ denial, but be cautious."
"Can I be self‑employed on H‑1B?","Only if a true employer‑employee relationship exists (independent board control over you).","8 CFR 214.2(h)(4)(ii); USCIS PM Part H (employer‑employee)",H1B,risk,"Owner‑operator structures are scrutinized."
"Do end‑client letters matter?","They often help show specialty occupation and employer‑employee control at third‑party sites.","USCIS PM Vol.2 Part H",H1B,unclear,"Not legally required but commonly requested."
"Is premium processing available for H‑1B?","Yes, for an additional fee, USCIS will expedite adjudication timelines.","8 CFR 103.7; 8 CFR 214.2(h); USCIS PP policy",H1B,safe,""
"Can I start before the October 1 H‑1B start date?","Generally no, unless portability from a current H‑1B applies.","8 CFR 214.2(h)(13)(i)(A); 8 CFR 214.2(h)(2)(i)(H)",H1B,violation,""
"What happens if my I‑94 expires while a timely extension is pending?","You may get up to 240 days of continued work authorization with the same employer until USCIS decision.","8 CFR 274a.12(b)(20); 8 CFR 214.2(h)(2)",H1B,safe,"Only for same employer; travel not advised."
"Does moving from onsite to remote work require action?","If remote location is outside the LCA area, file an amended petition or use short‑term placement rules.","Matter of Simeio; 20 CFR 655.735",H1B,violation,""
"Do I need to post the LCA at the worksite?","Yes, notice must be provided at the worksite(s) before placing the H‑1B there.","20 CFR 655.734",H1B,violation,"Electronic notice may be acceptable."
"Can my employer withhold my passport or charge H‑1B fees back to me?","Passport withholding is not allowed; employers cannot pass certain fees to the worker if it drops wage below required wage.","20 CFR 655.731(c)(9); labor laws",H1B,violation,""
"Can I change employers multiple times under portability?","Yes, if each new employer files a nonfrivolous petition while you maintain eligibility.","8 CFR 214.2(h)(2)(i)(H)",H1B,safe,"Keep continuity of status and pay stubs."
"Does a change in job duties require an amendment?","If duties materially change such that the position differs from what was approved/LCA’d, file an amendment.","8 CFR 214.2(h)(2)(i)(E)",H1B,violation,""
"Are supervision and performance reviews relevant to H‑1B?","Yes, they help evidence a bona fide employer‑employee relationship.","USCIS PM Vol.2 Part H",H1B,safe,""
