question,ans,law_ref,visatype,risklevel,notes
What is a J-1 visa?,"The J-1 visa is a nonimmigrant visa for individuals approved to participate in work-and-study-based exchange visitor programs in the U.S.","22 CFR 62.1","J-1","low","Definition-level question."
Who qualifies for a J-1 visa?,"Those accepted into an exchange program approved by the U.S. Department of State, such as research scholars, students, and interns.","22 CFR 62.4","J-1","low","Eligibility definition."
Can J-1 visa holders work in the U.S.?,"Yes, but only as authorized by the terms of their specific J-1 program and sponsor.","22 CFR 62.16","J-1","medium","Employment tied to program rules."
Do J-1 visa holders need health insurance?,"Yes, J-1 participants must maintain health insurance meeting Department of State requirements for themselves and any J-2 dependents.","22 CFR 62.14","J-1","medium","Mandatory coverage."
How long can I stay on a J-1 visa?,"Your stay is limited to the duration of your program as stated on your DS-2019, plus a 30-day grace period.","22 CFR 62.43","J-1","low","Duration tied to DS-2019."
What is a DS-2019 form?,"The DS-2019 is the Certificate of Eligibility issued by a designated program sponsor, needed for a J-1 visa application.","22 CFR 62.12","J-1","low","Essential application form."
Can J-1 holders apply for a Social Security Number?,"Yes, if authorized to work under their J-1 program, they may apply for an SSN.","SSA J-1 Guidance","J-1","low","Requires work authorization."
Do J-1 holders pay U.S. taxes?,"Yes, J-1 visa holders may be subject to federal, state, and local taxes depending on income and tax treaty benefits.","IRS J-1 Tax Guide","J-1","medium","Varies by treaty."
Can I extend my J-1 program?,"Yes, with sponsor approval and USCIS/State Department notification before your current DS-2019 expires.","22 CFR 62.43","J-1","medium","Must maintain status."
Can I travel while on a J-1 visa?,"Yes, but you need a valid J-1 visa stamp, DS-2019 travel signature, and valid status to reenter.","22 CFR 62.42","J-1","low","Travel signature needed."
What is the 2-year home residency requirement?,"Some J-1 programs require you to return to your home country for 2 years before applying for certain U.S. visas or permanent residence.","INA 212(e)","J-1","high","Significant restriction."
How do I know if I’m subject to the 2-year rule?,"Check your DS-2019 and visa stamp; consult your program sponsor or a U.S. embassy for confirmation.","INA 212(e)","J-1","high","Critical for future plans."
Can the 2-year home residency requirement be waived?,"Yes, through options like a no-objection statement, hardship, persecution, or an interested government agency request.","INA 212(e) Waivers","J-1","high","Legal waiver process."
Can J-1 holders change status to H-1B?,"Yes, but if subject to the 2-year rule, you must fulfill it or get a waiver first.","INA 212(e)","J-1","high","Subject to waiver."
Can J-1 holders bring dependents?,"Yes, eligible dependents can apply for J-2 visas.","22 CFR 62.2","J-1","low","J-2 for spouse/children."
What happens if I overstay my J-1 visa?,"Overstaying can lead to status violations, unlawful presence bars, and future visa denials.","INA 212(a)(9)","J-1","high","Serious immigration violation."
Can J-1 students work on campus?,"Yes, with sponsor authorization and within program rules.","22 CFR 62.23(g)","J-1","low","On-campus permitted."
Can J-1 students do academic training?,"Yes, with written sponsor approval; training must be related to your field of study.","22 CFR 62.23(f)","J-1","medium","AT rules apply."
Do J-1 teachers have special program rules?,"Yes, they must meet teaching experience, qualifications, and cultural exchange requirements.","22 CFR 62.24","J-1","medium","Teacher-specific regulations."
Can J-1 interns be unpaid?,"Yes, if the internship meets program standards and complies with labor laws.","22 CFR 62.22","J-1","medium","Must meet program and labor rules."
Can J-1 holders change their program sponsor?,"Yes, but you need written release from your current sponsor and acceptance from a new designated sponsor.","22 CFR 62.42","J-1","medium","Sponsor transfer rules."
Is there a grace period after my J-1 program ends?,"Yes, you have 30 days to prepare for departure, but you cannot work during this period.","22 CFR 62.43","J-1","low","No work in grace period."
Can J-1 researchers work at multiple sites?,"Yes, if authorized by their sponsor and included on the DS-2019.","22 CFR 62.20","J-1","medium","Must be documented."
Are J-1 au pairs subject to a maximum stay?,"Yes, generally 12 months with possible extensions to 24 months under certain conditions.","22 CFR 62.31","J-1","medium","Program-specific."
Can J-1 scholars change to tourist status?,"Yes, by applying to USCIS before your J-1 status expires, but some restrictions apply.","8 CFR 248.1","J-1","medium","Subject to 2-year rule."
