question,ans,law_ref,visatype,risklevel,notes
Who qualifies for a J-2 visa?,"Spouses and unmarried children under 21 of J-1 exchange visitors are eligible for J-2 visas.","8 CFR 214.2(j)(1)(ii)","J-2","low","Eligibility linked directly to J-1 status."
Can J-2 dependents work in the U.S.?,"Yes, J-2 dependents can apply for employment authorization (EAD) from USCIS.","8 CFR 274a.12(c)(5)","J-2","medium","EAD is valid as long as J-1 maintains status."
How does a J-2 apply for work authorization?,"Submit Form I-765 with fee, photos, and proof of J-1 status to USCIS.","8 CFR 274a.13","J-2","medium","Must request work for personal, not J-1, support."
Can J-2 children attend school in the U.S.?,"Yes, J-2 dependents can enroll in public or private schools without a separate student visa.","DOS Exchange Visitor Program Guidance","J-2","low","No additional visa required."
Do J-2 visa holders have a grace period?,"Yes, they have the same 30-day grace period as the J-1 principal after program completion.","22 CFR 62.43","J-2","low","Grace period allows travel or preparation to depart."
Can J-2 travel internationally while in status?,"Yes, with a valid passport, visa, and properly endorsed DS-2019.","22 CFR 62.43","J-2","low","Re-entry depends on maintaining J-1 status."
What happens if the J-1 loses status?,"J-2 dependents immediately lose status as well.","8 CFR 214.2(j)","J-2","high","J-2 status is dependent on J-1’s status."
Can J-2 holders change to another visa category?,"Yes, by applying for a change of status with USCIS, if eligible.","8 CFR 248","J-2","medium","Subject to 2-year home residency rule if applicable."
Are J-2 holders subject to the 2-year home residency rule?,"Yes, if the J-1 is subject, the J-2 is also subject.","INA 212(e)","J-2","high","Same restrictions apply."
How long is a J-2 visa valid?,"It is valid for the same period as the J-1 principal's program duration.","8 CFR 214.2(j)","J-2","low","Expiration linked to J-1 program dates."
Can J-2 visa holders volunteer?,"Yes, they may engage in unpaid volunteer work that is truly volunteer in nature.","USCIS Volunteer Guidelines","J-2","low","Must not displace paid workers."
Do J-2 visa holders need health insurance?,"Yes, they must have health insurance meeting the same requirements as J-1 holders.","22 CFR 62.14","J-2","medium","Minimum coverage and limits apply."
Can a J-2 dependent apply for Social Security Number?,"Yes, if they have an EAD from USCIS.","SSA Policy for Dependents","J-2","low","SSN issued only with work authorization."
Do J-2 holders need to pay taxes if working?,"Yes, they must pay U.S. federal and state income taxes on earnings.","IRS Publication 519","J-2","medium","Tax treaty benefits may apply."
Can J-2 apply for a driver's license?,"Yes, with proof of legal presence, residence, and identification.","State DMV Rules","J-2","low","Requirements vary by state."
What is required to extend J-2 status?,"The J-1 principal must extend their program, and an updated DS-2019 must be issued for J-2.","8 CFR 214.2(j)","J-2","low","No independent extension possible."
Can J-2 holders start a business?,"Yes, if they obtain an EAD; they can operate a business as self-employed.","8 CFR 274a.12(c)(5)","J-2","medium","Business activity must be legal and compliant."
Can J-2 holders work remotely for a foreign employer?,"Yes, if they have an EAD; if income is foreign-sourced, U.S. tax rules may differ.","IRS Publication 54","J-2","medium","Check tax implications."
Can J-2 study full-time?,"Yes, J-2 holders can study without a separate student visa.","8 CFR 214.2(j)","J-2","low","No restriction on level of study."
Can a J-2 spouse support the J-1 financially?,"No, USCIS expects the J-2's employment to be for personal reasons, not to support the J-1.","8 CFR 274a.12(c)(5)","J-2","medium","Employment purpose statement required in EAD application."
Can J-2 dependents re-enter on an expired visa?,"No, they need a valid visa stamp to re-enter the U.S.","22 CFR 41.112","J-2","high","Travel without valid visa leads to denial of entry."
Are J-2 holders allowed multiple employers?,"Yes, with an EAD, they can work for any employer.","8 CFR 274a.12(c)(5)","J-2","low","No employer sponsorship required."
What documents are needed for J-2 visa application?,"Valid passport, DS-2019 for J-2, DS-160 confirmation, fee receipt, marriage or birth certificate.","22 CFR 41.103","J-2","low","Document list mirrors J-1 application with proof of relationship."
How long does USCIS take to approve J-2 EAD?,"Processing can take 3–5 months on average.","USCIS I-765 Processing Times","J-2","medium","Processing times vary by service center."
Can a J-2 apply for a green card?,"Yes, but must first overcome the 2-year home residency requirement if applicable.","INA 245","J-2","high","Adjustment of status limited if subject to 212(e)."
Can J-2 work part-time?,"Yes, with an EAD there is no minimum hours requirement.","8 CFR 274a.12(c)(5)","J-2","low","Flexibility to choose part-time or full-time work."
Can a J-2 change to F-1 status?,"Yes, if admitted to a U.S. school and approved by USCIS.","8 CFR 248","J-2","medium","Still subject to 2-year rule if applicable."
Can a J-2 child change to F-1 for college?,"Yes, by applying for change of status before starting the program.","8 CFR 248","J-2","medium","Timing important to avoid status gaps."
Do J-2 need SEVIS registration?,"Yes, J-2 dependents are listed in SEVIS under the J-1’s record.","SEVIS Policy Manual","J-2","low","No separate SEVIS fee for J-2."
What happens to J-2 if J-1 switches programs?,"J-2 status transfers if J-1 transfers SEVIS record to new sponsor.","8 CFR 214.2(j)","J-2","low","Both must maintain status."
Can a J-2 be out of the U.S. while J-1 is in the program?,"Yes, but extended absences may require reissuance of DS-2019.","DOS Exchange Visitor FAQ","J-2","medium","Must maintain intent to accompany J-1."
